,Offense,Age,Month,Day,Year
931,2100,49.0,06,12,2015
932,301,25.0,10,22,2015
933,2100,26.0,09,21,2015
934,840,,03,22,2015
935,2601,53.0,05,29,2015
936,403,33.0,03,10,2015
937,301,20.0,09,30,2015
938,799,,08,13,2015
939,1770,,03,16,2015
940,1546,,08,30,2015
941,840,39.0,05,02,2015
942,302,20.0,12,13,2015
943,302,,12,27,2015
944,702,,01,01,2015
945,2601,27.0,07,17,2015
946,1401,25.0,08,28,2015
947,401,26.0,12,25,2015
948,2402,24.0,02,21,2015
949,302,,07,17,2015
950,1546,,11,06,2015
951,2601,,10,06,2015
952,2601,,04,20,2015
953,1849,,07,25,2015
954,1546,,02,07,2015
955,301,,01,13,2015
956,401,,08,15,2015
957,1546,,07,29,2015
958,802,26.0,10,26,2015
959,1849,43.0,02,03,2015
960,401,19.0,07,13,2015
961,1651,,01,21,2015
962,301,22.0,06,11,2015
963,640,40.0,10,23,2015
964,2655,,03,30,2015
965,403,,08,02,2015
966,1849,27.0,12,24,2015
967,1546,,01,05,2015
968,401,,07,09,2015
969,1401,54.0,05,13,2015
970,1850,25.0,12,05,2015
971,1401,23.0,08,15,2015
972,840,18.0,08,31,2015
973,2100,52.0,04,13,2015
974,1849,,01,23,2015
975,1546,,09,09,2015
976,401,,10,07,2015
977,2601,30.0,12,01,2015
978,401,29.0,10,22,2015
979,640,,09,10,2015
980,302,32.0,06,17,2015
981,802,25.0,10,10,2015
982,801,55.0,05,21,2015
983,2402,22.0,04,19,2015
984,690,48.0,06,07,2015
985,1850,23.0,06,17,2015
986,403,28.0,11,10,2015
987,650,,01,20,2015
988,2601,35.0,09,07,2015
989,302,,05,25,2015
990,1849,,11,27,2015
991,401,40.0,06,01,2015
992,1546,,08,09,2015
993,1849,,10,12,2015
